O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology,In Demand
11-1021.00,General and Operations Managers,Atlassian JIRA,43232201,Content workflow software,Y,N
11-1021.00,General and Operations Managers,Autodesk AutoCAD,43232604,Computer aided design CAD software,Y,N
11-1021.00,General and Operations Managers,Avidian Technologies Prophet,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Blackbaud The Raiser's Edge,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Blackboard software,43232306,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Calendar and scheduling software,43232108,Calendar and scheduling software,N,N
11-1021.00,General and Operations Managers,Citrix cloud computing software,43232901,Access software,N,N
11-1021.00,General and Operations Managers,CNC Mastercam,43232612,Computer aided manufacturing CAM software,N,N
11-1021.00,General and Operations Managers,Computer aided manufacturing CAM software,43232612,Computer aided manufacturing CAM software,N,N
11-1021.00,General and Operations Managers,Customer information control system CICS,43232313,Transaction server software,N,N
11-1021.00,General and Operations Managers,Database software,43232306,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Datawatch Monarch,43232307,Data mining software,N,N
11-1021.00,General and Operations Managers,Deacom ERP,43231602,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Delphi Technology,43231604,Financial analysis software,N,N
11-1021.00,General and Operations Managers,Dropbox,43233513,Cloud-based data access and sharing software,N,N
11-1021.00,General and Operations Managers,Dynamic Energy Systems MedAct,43232610,Medical software,N,N
11-1021.00,General and Operations Managers,Eko,43232702,Desktop communications software,N,N
11-1021.00,General and Operations Managers,Evernote,43232104,Word processing software,N,N
11-1021.00,General and Operations Managers,Extensible markup language XML,43232403,Enterprise application integration software,Y,N
11-1021.00,General and Operations Managers,Facebook,43232107,Web page creation and editing software,Y,N
11-1021.00,General and Operations Managers,FileMaker Pro,43232306,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Flipgrid,43232103,Video creation and editing software,N,N
11-1021.00,General and Operations Managers,Fund accounting software,43231601,Accounting software,N,N
11-1021.00,General and Operations Managers,Geographic information system GIS software,43232510,Geographic information system,N,N
11-1021.00,General and Operations Managers,Google Ads,43231514,Sales and marketing software,N,N
11-1021.00,General and Operations Managers,Google Analytics,43232307,Data mining software,Y,N
11-1021.00,General and Operations Managers,Google Docs,43232104,Word processing software,Y,N
11-1021.00,General and Operations Managers,Google Drive,43233513,Cloud-based data access and sharing software,N,N
11-1021.00,General and Operations Managers,Google Slides,43232106,Presentation software,N,N
11-1021.00,General and Operations Managers,GroupMe,43233504,Instant messaging software,N,N
11-1021.00,General and Operations Managers,HEAT Software GoldMine,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,HubSpot software,43231514,Sales and marketing software,Y,N
11-1021.00,General and Operations Managers,Human resource management software HRMS,43231505,Human resources software,N,N
11-1021.00,General and Operations Managers,Human resources software,43231505,Human resources software,N,N
11-1021.00,General and Operations Managers,IBM Cognos Impromptu,43232314,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,IBM Domino,43232902,Communications server software,N,N
11-1021.00,General and Operations Managers,IBM InfoSphere DataStage,43232403,Enterprise application integration software,N,N
11-1021.00,General and Operations Managers,IBM Notes,43233501,Electronic mail software,N,N
11-1021.00,General and Operations Managers,IBM Power Systems software,43233701,Enterprise system management software,N,N
11-1021.00,General and Operations Managers,IBM SPSS Statistics,43232605,Analytical or scientific software,Y,N
11-1021.00,General and Operations Managers,InnQuest Software roomMaster,43232603,Facilities management software,N,N
11-1021.00,General and Operations Managers,Intuit QuickBooks,43231601,Accounting software,Y,N
11-1021.00,General and Operations Managers,Inventory management software,43231508,Inventory management software,N,N
11-1021.00,General and Operations Managers,Job control language JCL,43233004,Operating system software,N,N
11-1021.00,General and Operations Managers,Kronos Workforce Payroll,43231605,Time accounting software,N,N
11-1021.00,General and Operations Managers,Kronos Workforce Timekeeper,43231605,Time accounting software,Y,N
11-1021.00,General and Operations Managers,LexisNexis,43232309,Information retrieval or search software,N,N
11-1021.00,General and Operations Managers,LinkedIn,43232107,Web page creation and editing software,N,N
11-1021.00,General and Operations Managers,LSA Visual Easy Lean,43231506,Materials requirements planning logistics and supply chain software,N,N
11-1021.00,General and Operations Managers,Marketo Marketing Automation,43231514,Sales and marketing software,Y,N
11-1021.00,General and Operations Managers,Maximizer Software Maximizer Enterprise,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,McAfee,43233205,Transaction security and virus protection software,N,N
11-1021.00,General and Operations Managers,Medical condition coding software,43232610,Medical software,N,N
11-1021.00,General and Operations Managers,Microsoft Access,43232306,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Microsoft Dynamics,43231602,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Microsoft Dynamics GP,43231602,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Microsoft Excel,43232110,Spreadsheet software,Y,Y
11-1021.00,General and Operations Managers,Microsoft Exchange,43233501,Electronic mail software,N,N
11-1021.00,General and Operations Managers,Microsoft FrontPage,43232107,Web page creation and editing software,N,N
11-1021.00,General and Operations Managers,Microsoft Internet Explorer,43232705,Internet browser software,N,N
11-1021.00,General and Operations Managers,Microsoft Office software,43231513,Office suite software,Y,Y
11-1021.00,General and Operations Managers,Microsoft OneNote,43232104,Word processing software,N,N
11-1021.00,General and Operations Managers,Microsoft Outlook,43233501,Electronic mail software,Y,N
11-1021.00,General and Operations Managers,Microsoft PowerPoint,43232106,Presentation software,Y,Y
11-1021.00,General and Operations Managers,Microsoft Project,43231507,Project management software,Y,N
11-1021.00,General and Operations Managers,Microsoft Publisher,43232112,Desktop publishing software,N,N
11-1021.00,General and Operations Managers,Microsoft SharePoint,43232202,Document management software,Y,N
11-1021.00,General and Operations Managers,Microsoft SQL Server,43232306,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Microsoft Visio,43231518,Process mapping and design software,Y,N
11-1021.00,General and Operations Managers,Microsoft Visual Basic,43232402,Development environment software,Y,N
11-1021.00,General and Operations Managers,Microsoft Visual Basic for Applications VBA,43232402,Development environment software,Y,N
11-1021.00,General and Operations Managers,Microsoft Windows,43233004,Operating system software,Y,N
11-1021.00,General and Operations Managers,Microsoft Word,43232104,Word processing software,Y,N
11-1021.00,General and Operations Managers,MicroStrategy,43232314,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,Minitab,43232605,Analytical or scientific software,N,N
11-1021.00,General and Operations Managers,Mozilla Firefox,43232705,Internet browser software,Y,N
11-1021.00,General and Operations Managers,Mozilla Thunderbird,43233501,Electronic mail software,N,N
11-1021.00,General and Operations Managers,Nagios,43232801,Network monitoring software,N,N
11-1021.00,General and Operations Managers,NetSuite ERP,43231602,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,NetSuite NetCRM,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,NortonLifeLock cybersecurity software,43233205,Transaction security and virus protection software,N,N
11-1021.00,General and Operations Managers,Oracle Business Intelligence Enterprise Edition,43232314,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,Oracle Database,43232306,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Oracle E-Business Suite Financials,43231604,Financial analysis software,N,N
11-1021.00,General and Operations Managers,Oracle Eloqua,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Oracle Fusion Applications,43231602,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle Hyperion,43231602,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle JD Edwards EnterpriseOne,43231602,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle PeopleSoft,43231602,Enterprise resource planning ERP software,Y,N
11-1021.00,General and Operations Managers,Oracle PeopleSoft Financials,43231602,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,Oracle Primavera Enterprise Project Portfolio Management,43231507,Project management software,Y,N
11-1021.00,General and Operations Managers,Oracle Solaris,43233004,Operating system software,N,N
11-1021.00,General and Operations Managers,Oracle Taleo,43231505,Human resources software,N,N
11-1021.00,General and Operations Managers,Payroll software,43231605,Time accounting software,N,N
11-1021.00,General and Operations Managers,Personnel scheduling software,43231505,Human resources software,N,N
11-1021.00,General and Operations Managers,Point of sale POS software,43232611,Point of sale POS software,N,N
11-1021.00,General and Operations Managers,PostgreSQL,43232311,Object oriented data base management software,Y,N
11-1021.00,General and Operations Managers,Puppet,43232401,Configuration management software,Y,N
11-1021.00,General and Operations Managers,Qlik Tech QlikView,43232314,Business intelligence and data analysis software,N,N
11-1021.00,General and Operations Managers,Quest Erwin Data Modeler,43232310,Metadata management software,N,N
11-1021.00,General and Operations Managers,R,43232405,Object or component oriented development software,Y,N
11-1021.00,General and Operations Managers,Realization Streamliner,43231507,Project management software,N,N
11-1021.00,General and Operations Managers,Sage 50 Accounting,43231601,Accounting software,N,N
11-1021.00,General and Operations Managers,Sage MAS 500,43231604,Financial analysis software,N,N
11-1021.00,General and Operations Managers,Salesforce software,43232303,Customer relationship management CRM software,Y,N
11-1021.00,General and Operations Managers,Salesforce.com Salesforce CRM,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,SAP Business Objects,43231602,Enterprise resource planning ERP software,N,N
11-1021.00,General and Operations Managers,SAP Crystal Reports,43232305,Data base reporting software,N,N
11-1021.00,General and Operations Managers,SAP software,43231602,Enterprise resource planning ERP software,Y,N
11-1021.00,General and Operations Managers,SAS,43232605,Analytical or scientific software,Y,N
11-1021.00,General and Operations Managers,Savant MobileRanger,43232306,Data base user interface and query software,N,N
11-1021.00,General and Operations Managers,Screencastify,43232103,Video creation and editing software,N,N
11-1021.00,General and Operations Managers,SeaMonkey,43232705,Internet browser software,N,N
11-1021.00,General and Operations Managers,Shell script,43233004,Operating system software,Y,N
11-1021.00,General and Operations Managers,Siemens NX,43232612,Computer aided manufacturing CAM software,N,N
11-1021.00,General and Operations Managers,Slack,43233513,Cloud-based data access and sharing software,Y,N
11-1021.00,General and Operations Managers,Social media sites,43232107,Web page creation and editing software,N,N
11-1021.00,General and Operations Managers,Software on Sailboats Desktop Sales Manager,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Splunk Enterprise,43232806,Cloud-based management software,Y,N
11-1021.00,General and Operations Managers,StataCorp Stata,43232605,Analytical or scientific software,N,N
11-1021.00,General and Operations Managers,Structured query language SQL,43232306,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,Sugar CRM,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Supervisory control and data acquisition SCADA software,43232608,Industrial control software,N,N
11-1021.00,General and Operations Managers,Tableau,43232314,Business intelligence and data analysis software,Y,N
11-1021.00,General and Operations Managers,Tax software,43231601,Accounting software,N,N
11-1021.00,General and Operations Managers,Teradata Database,43232304,Data base management system software,Y,N
11-1021.00,General and Operations Managers,The MathWorks MATLAB,43232605,Analytical or scientific software,Y,N
11-1021.00,General and Operations Managers,Vanguard Software Vanguard Sales Manager,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Veritas NetBackup,43233415,Backup or archival software,N,N
11-1021.00,General and Operations Managers,vtiger CRM,43232303,Customer relationship management CRM software,N,N
11-1021.00,General and Operations Managers,Yardi software,43232306,Data base user interface and query software,Y,N
11-1021.00,General and Operations Managers,YouTube,43232103,Video creation and editing software,N,N
11-1031.00,Legislators,Adobe Acrobat,43232202,Document management software,Y,N
11-1031.00,Legislators,Adobe FrameMaker,43232112,Desktop publishing software,N,N
11-1031.00,Legislators,Antenna House,43232112,Desktop publishing software,N,N
11-1031.00,Legislators,Apple iWork Keynote,43232106,Presentation software,N,N
11-1031.00,Legislators,Apple iWork Pages,43232104,Word processing software,N,N
11-1031.00,Legislators,Apple Numbers for Mac,43232110,Spreadsheet software,N,N
11-1031.00,Legislators,Cisco AnyConnect,43232901,Access software,N,N
11-1031.00,Legislators,Cisco Webex,43233502,Video conferencing software,Y,N
11-1031.00,Legislators,Corel WordPerfect Office Suite,43231513,Office suite software,N,N
11-1031.00,Legislators,GoodReader,43232104,Word processing software,N,N
11-1031.00,Legislators,iAnnotate,43232104,Word processing software,N,N
11-1031.00,Legislators,IBM Domino,43232902,Communications server software,N,N
11-1031.00,Legislators,Legislative Automative Workflow System LAWS,43232306,Data base user interface and query software,N,N
11-1031.00,Legislators,LogMeIn GoToMeeting,43233502,Video conferencing software,N,N
11-1031.00,Legislators,Mapping software,43233506,Map creation software,N,N
11-1031.00,Legislators,Meeting scheduling software,43232108,Calendar and scheduling software,N,N
11-1031.00,Legislators,Microsoft Access,43232306,Data base user interface and query software,Y,N
11-1031.00,Legislators,Microsoft Excel,43232110,Spreadsheet software,Y,N
11-1031.00,Legislators,Microsoft Exchange,43233501,Electronic mail software,N,N
11-1031.00,Legislators,Microsoft Office software,43231513,Office suite software,Y,N
11-1031.00,Legislators,Microsoft Outlook,43233501,Electronic mail software,Y,N
11-1031.00,Legislators,Microsoft SharePoint,43232202,Document management software,Y,N
11-1031.00,Legislators,Microsoft SQL Server,43232306,Data base user interface and query software,Y,N
11-1031.00,Legislators,Microsoft Visual Basic,43232402,Development environment software,Y,N
11-1031.00,Legislators,Microsoft Word,43232104,Word processing software,Y,N
11-1031.00,Legislators,Penultimate,43232104,Word processing software,N,N
11-1031.00,Legislators,PTC Arbortext,43232112,Desktop publishing software,N,N
11-1031.00,Legislators,Rocket/Folio NXT,43232112,Desktop publishing software,N,N
11-1031.00,Legislators,Structured query language SQL,43232306,Data base user interface and query software,Y,N
11-1031.00,Legislators,Web browser software,43232705,Internet browser software,N,N
11-1031.00,Legislators,Windows Media Player,43232005,Music or sound editing software,N,N
11-1031.00,Legislators,XMetaL Author,43232104,Word processing software,N,N
11-2011.00,Advertising and Promotions Managers,Actuate BIRT,43232314,Business intelligence and data analysis software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat,43232202,Document management software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Acrobat Reader,43232202,Document management software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe After Effects,43232103,Video creation and editing software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Creative Cloud software,43232102,Graphics or photo imaging software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Dreamweaver,43232107,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Experience Manager (AEM),43232107,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Illustrator,43232102,Graphics or photo imaging software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe InDesign,43232112,Desktop publishing software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe PageMaker,43232112,Desktop publishing software,N,N
11-2011.00,Advertising and Promotions Managers,Adobe Photoshop,43232102,Graphics or photo imaging software,Y,N
11-2011.00,Advertising and Promotions Managers,Adobe Premiere Pro,43232103,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,AdRelevance,43232305,Data base reporting software,N,N
11-2011.00,Advertising and Promotions Managers,Apple Final Cut Pro,43232103,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Apple iMovie,43232103,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Avid Media Composer,43232103,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Brainworks,43231602,Enterprise resource planning ERP software,N,N
11-2011.00,Advertising and Promotions Managers,Business analysis software,43232605,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Constant Contact,43232303,Customer relationship management CRM software,N,N
11-2011.00,Advertising and Promotions Managers,Customer relationship management CRM software,43232303,Customer relationship management CRM software,N,N
11-2011.00,Advertising and Promotions Managers,Data visualization software,43232605,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Data warehousing software,43232202,Document management software,N,N
11-2011.00,Advertising and Promotions Managers,Database software,43232306,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Drupal,43232408,Web platform development software,N,N
11-2011.00,Advertising and Promotions Managers,Email software,43233501,Electronic mail software,N,N
11-2011.00,Advertising and Promotions Managers,Experience in Software Webplanner,43231507,Project management software,N,N
11-2011.00,Advertising and Promotions Managers,Extensible markup language XML,43232403,Enterprise application integration software,Y,N
11-2011.00,Advertising and Promotions Managers,Facebook,43232107,Web page creation and editing software,Y,N
11-2011.00,Advertising and Promotions Managers,Google Ads,43231514,Sales and marketing software,N,N
11-2011.00,Advertising and Promotions Managers,Google Analytics,43232605,Analytical or scientific software,Y,Y
11-2011.00,Advertising and Promotions Managers,Google DoubleClick,43232314,Business intelligence and data analysis software,N,N
11-2011.00,Advertising and Promotions Managers,Hootsuite,43232403,Enterprise application integration software,N,N
11-2011.00,Advertising and Promotions Managers,HubSpot software,43231514,Sales and marketing software,Y,N
11-2011.00,Advertising and Promotions Managers,Hypertext markup language HTML,43232408,Web platform development software,Y,N
11-2011.00,Advertising and Promotions Managers,IBM Lotus Notes,43233501,Electronic mail software,N,N
11-2011.00,Advertising and Promotions Managers,Instagram,43232107,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Inventory tracking software,43231508,Inventory management software,N,N
11-2011.00,Advertising and Promotions Managers,JavaScript,43232408,Web platform development software,Y,N
11-2011.00,Advertising and Promotions Managers,LinkedIn,43232107,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,MailChimp,43233501,Electronic mail software,N,N
11-2011.00,Advertising and Promotions Managers,Marketo Marketing Automation,43231514,Sales and marketing software,Y,N
11-2011.00,Advertising and Promotions Managers,MarketSharp,43232303,Customer relationship management CRM software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Access,43232306,Data base user interface and query software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics,43231602,Enterprise resource planning ERP software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Dynamics Marketing,43232306,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft Excel,43232110,Spreadsheet software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Office software,43231513,Office suite software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Outlook,43233501,Electronic mail software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft PowerPoint,43232106,Presentation software,Y,Y
11-2011.00,Advertising and Promotions Managers,Microsoft Project,43231507,Project management software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Publisher,43232112,Desktop publishing software,N,N
11-2011.00,Advertising and Promotions Managers,Microsoft SharePoint,43232202,Document management software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft SQL Server,43232304,Data base management system software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Windows,43233004,Operating system software,Y,N
11-2011.00,Advertising and Promotions Managers,Microsoft Word,43232104,Word processing software,Y,N
11-2011.00,Advertising and Promotions Managers,Oracle Eloqua,43232303,Customer relationship management CRM software,N,N
11-2011.00,Advertising and Promotions Managers,PaloAlto Advertising Plan Pro,43232306,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Pinterest,43232309,Information retrieval or search software,N,N
11-2011.00,Advertising and Promotions Managers,Quark enterprise publishing software,43232112,Desktop publishing software,N,N
11-2011.00,Advertising and Promotions Managers,Relex Weibull,43232605,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Salesforce software,43232303,Customer relationship management CRM software,Y,Y
11-2011.00,Advertising and Promotions Managers,SAP software,43231602,Enterprise resource planning ERP software,Y,N
11-2011.00,Advertising and Promotions Managers,Scheduling software,43232108,Calendar and scheduling software,N,N
11-2011.00,Advertising and Promotions Managers,Social media software,43232107,Web page creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Structure query language SQL,43232306,Data base user interface and query software,N,N
11-2011.00,Advertising and Promotions Managers,Tableau,43232314,Business intelligence and data analysis software,Y,N
11-2011.00,Advertising and Promotions Managers,Twitter,43233504,Instant messaging software,N,N
11-2011.00,Advertising and Promotions Managers,Vimeo,43232103,Video creation and editing software,N,N
11-2011.00,Advertising and Promotions Managers,Web browser software,43232705,Internet browser software,N,N
11-2011.00,Advertising and Promotions Managers,WebTrends Analytics,43232605,Analytical or scientific software,N,N
11-2011.00,Advertising and Promotions Managers,Webtrends software,43231514,Sales and marketing software,N,N
11-2011.00,Advertising and Promotions Managers,WordPress,43232107,Web page creation and editing software,Y,N
11-2011.00,Advertising and Promotions Managers,YouTube,43232103,Video creation and editing software,N,N
