"soc6","soc_code","title","auto_w","pv_w","da_w","tk_w","ag_w","n_tasks","n_core","occupation_category","eloundou_alpha","eloundou_beta","eloundou_gamma","webb_software","webb_robot","webb_ai","sml","felten","frey_osborne","routine_cognitive","routine_manual"
"518011","51-8011.00","Nuclear Power Reactor Operators",0.390625,0.2815276086401,1.0552427172802,0.5080901086401,1.09564563036812,19,13,"Production, Transportation & Material Moving",0.181818181818182,0.318181818181818,0.454545454545455,100,82,100,2.96145320931342,4.265224,0.95,2.1483684,0.48992872
"452092","45-2092.00","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",0.389423076923077,0.727241970950678,0.750455562896574,0.779851629804438,0.345054020030424,27,12,"Farming, Fishing & Forestry",0.0714285714285714,0.142857142857143,0.214285714285714,97,93,93,3.01405689957464,2.7472272,NA,-0.93414268,0.6815269315
"395092","39-5092.00","Manicurists and Pedicurists",0.388888888888889,0.580950376732586,0.737098164053687,0.94732092751648,0.308432038627591,18,18,"Personal Care & Service",0.0555555555555556,0.0833333333333333,0.111111111111111,15,55,28,3.18225734440575,1.9718075,0.95,-0.8978776,0.3772241
"512023","51-2023.00","Electromechanical Equipment Assemblers",0.3875,0.530621843353823,0.908210678118655,1.14053300858899,0.375444173824159,13,7,"Production, Transportation & Material Moving",0,0.0454545454545455,0.0909090909090909,NA,NA,NA,NA,NA,NA,NA,NA
"514034","51-4034.00","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.386029411764706,0.641490005052348,0.818483150727829,0.706404910381364,0.626784122699407,17,17,"Production, Transportation & Material Moving",0.129032258064516,0.161290322580645,0.193548387096774,18,59,34,3.18447449325205,2.9172313,0.84,0.9717766,1.9911549
"492096","49-2096.00","Electronic Equipment Installers and Repairers, Motor Vehicles",0.385416666666667,1.01725889843221,0.887944173824159,0.487796115882773,0.29598139127472,12,12,"Construction, Extraction & Maintenance",0.166666666666667,0.166666666666667,0.166666666666667,30,61,35,3.04545052515202,3.9260128,0.61,0.7783636,0.64320755
"514191","51-4191.00","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.38508064516129,0.508637643644076,0.721368931196015,1.05506796068344,0.622924521670317,23,8,"Production, Transportation & Material Moving",0.176470588235294,0.176470588235294,0.176470588235294,37,54,35,3.19169953199769,3.6437304,0.91,1.1490709,2.0182042
"499031","49-9031.00","Home Appliance Repairers",0.384433962264151,0.680557427325717,0.799291261642952,0.84076717305245,0.503907675116727,29,24,"Construction, Extraction & Maintenance",0.0727272727272727,0.145454545454545,0.218181818181818,61,68,67,2.9803808680248,3.5932729,0.72,-1.3491737,0.06615947
"499099","49-9099.01","Geothermal Technicians",0.383333333333333,0.733629449216106,1.00862944921611,0.575296115882773,0.512081228902549,23,7,"Construction, Extraction & Maintenance",0.0645161290322581,0.209677419354839,0.354838709677419,91,84,57,3.00082667620524,4.190546,NA,0.3995981,0.67025685
"519022","51-9022.00","Grinding and Polishing Workers, Hand",0.383333333333333,0.668688672392661,0.682199675255658,0.922436567961876,0.467258898432212,17,13,"Production, Transportation & Material Moving",0.0357142857142857,0.0357142857142857,0.0357142857142857,92,66,33,3.1510443984357,3.182092,0.97,0.3995981,1.7386963
"475013","47-5013.00","Service Unit Operators, Oil and Gas",0.383064516129032,0.800630440266549,0.771426243947519,0.514745380038276,0.555354524440959,19,12,"Construction, Extraction & Maintenance",0.0645161290322581,0.0645161290322581,0.0645161290322581,59,84,53,2.8548683230358,4.0824628,0.93,0.97983485,2.2661545
