soc_code,title,n_software
15-2031.00,Operations Research Analysts,114
15-2041.00,Statisticians,70
15-2041.01,Biostatisticians,48
15-2051.00,Data Scientists,87
15-2051.01,Business Intelligence Analysts,202
15-2051.02,Clinical Data Managers,57
15-2099.01,Bioinformatics Technicians,50
17-1011.00,"Architects, Except Landscape and Naval",71
17-1012.00,Landscape Architects,28
17-1021.00,Cartographers and Photogrammetrists,74
17-1022.00,Surveyors,49
17-1022.01,Geodetic Surveyors,38
17-2011.00,Aerospace Engineers,85
17-2021.00,Agricultural Engineers,24
17-2031.00,Bioengineers and Biomedical Engineers,138
17-2041.00,Chemical Engineers,59
17-2051.00,Civil Engineers,74
17-2051.01,Transportation Engineers,32
17-2051.02,Water/Wastewater Engineers,51
17-2061.00,Computer Hardware Engineers,117
17-2071.00,Electrical Engineers,122
17-2072.00,"Electronics Engineers, Except Computer",52
17-2072.01,Radio Frequency Identification Device Specialists,52
17-2081.00,Environmental Engineers,55
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",74
17-2111.02,Fire-Prevention and Protection Engineers,49
17-2112.00,Industrial Engineers,104
17-2112.01,Human Factors Engineers and Ergonomists,64
17-2112.02,Validation Engineers,114
17-2112.03,Manufacturing Engineers,36
17-2121.00,Marine Engineers and Naval Architects,40
17-2131.00,Materials Engineers,38
17-2141.00,Mechanical Engineers,93
17-2141.01,Fuel Cell Engineers,30
17-2141.02,Automotive Engineers,88
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",47
17-2161.00,Nuclear Engineers,43
17-2171.00,Petroleum Engineers,45
17-2199.03,"Energy Engineers, Except Wind and Solar",45
17-2199.05,Mechatronics Engineers,53
17-2199.06,Microsystems Engineers,90
17-2199.07,Photonics Engineers,52
17-2199.08,Robotics Engineers,68
17-2199.09,Nanosystems Engineers,51
17-2199.10,Wind Energy Engineers,65
17-2199.11,Solar Energy Systems Engineers,57
17-3011.00,Architectural and Civil Drafters,81
17-3012.00,Electrical and Electronics Drafters,77
17-3013.00,Mechanical Drafters,43
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,43
17-3022.00,Civil Engineering Technologists and Technicians,27
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,107
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,43
17-3024.01,Robotics Technicians,55
17-3025.00,Environmental Engineering Technologists and Technicians,73
17-3026.00,Industrial Engineering Technologists and Technicians,111
17-3026.01,Nanotechnology Engineering Technologists and Technicians,11
17-3027.00,Mechanical Engineering Technologists and Technicians,46
17-3027.01,Automotive Engineering Technicians,13
17-3028.00,Calibration Technologists and Technicians,16
17-3029.01,Non-Destructive Testing Specialists,21
17-3029.08,Photonics Technicians,22
17-3031.00,Surveying and Mapping Technicians,105
19-1011.00,Animal Scientists,28
19-1012.00,Food Scientists and Technologists,23
19-1013.00,Soil and Plant Scientists,36
19-1021.00,Biochemists and Biophysicists,75
19-1022.00,Microbiologists,45
19-1023.00,Zoologists and Wildlife Biologists,28
19-1029.01,Bioinformatics Scientists,93
19-1029.02,Molecular and Cellular Biologists,44
19-1029.03,Geneticists,36
19-1029.04,Biologists,57
19-1031.00,Conservation Scientists,39
19-1031.02,Range Managers,54
19-1031.03,Park Naturalists,15
19-1032.00,Foresters,22
19-1041.00,Epidemiologists,44
19-1042.00,"Medical Scientists, Except Epidemiologists",40
19-2011.00,Astronomers,38
19-2012.00,Physicists,74
19-2021.00,Atmospheric and Space Scientists,63
19-2031.00,Chemists,74
19-2032.00,Materials Scientists,37
19-2041.00,"Environmental Scientists and Specialists, Including Health",63
19-2041.01,Climate Change Policy Analysts,25
19-2041.02,Environmental Restoration Planners,27
19-2041.03,Industrial Ecologists,46
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",142
19-2043.00,Hydrologists,156
19-2099.01,Remote Sensing Scientists and Technologists,90
19-3011.00,Economists,52
19-3011.01,Environmental Economists,35
19-3022.00,Survey Researchers,100
19-3032.00,Industrial-Organizational Psychologists,29
19-3033.00,Clinical and Counseling Psychologists,58
19-3034.00,School Psychologists,30
19-3039.02,Neuropsychologists,23
19-3039.03,Clinical Neuropsychologists,22
19-3041.00,Sociologists,40
19-3051.00,Urban and Regional Planners,84
19-3091.00,Anthropologists and Archeologists,59
19-3092.00,Geographers,45
19-3093.00,Historians,47
19-3094.00,Political Scientists,40
19-3099.01,Transportation Planners,45
19-4012.00,Agricultural Technicians,15
19-4012.01,Precision Agriculture Technicians,23
19-4013.00,Food Science Technicians,24
19-4021.00,Biological Technicians,34
19-4031.00,Chemical Technicians,20
19-4042.00,"Environmental Science and Protection Technicians, Including Health",33
19-4043.00,"Geological Technicians, Except Hydrologic Technicians",36
